ERROR 2025-05-14 10:55:31,504 activity 27656 19908 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:55:31,536 activity 27656 30912 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:55:31,567 activity 27656 28748 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/activity/'}
ERROR 2025-05-14 10:55:49,196 activity 27656 21948 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:55:49,241 activity 27656 16680 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:55:57,227 activity 27656 11432 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:55:57,245 activity 27656 31700 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:55:57,286 activity 27656 14656 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/activity/'}
ERROR 2025-05-14 10:57:54,079 activity 27656 33168 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:57:54,100 activity 27656 12556 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
